year,state,pop,log_pop,acres,nrel_cap_factor,tot_sales,log_sales,gdp,region,iso_rto,iso_rto_dummy,net_meter_cap_dc,net_meter_cap_ac,comm__cap_ac,dc_cap_added,ac_cap_added,n_plants,dc_cap_added_qf,ac_cap_added_qf,n_plants_qf,cum_dc_cap_added,cum_ac_cap_added,cum_n_plants,cum_dc_cap_added_qf,cum_ac_cap_added_qf,cum_n_plants_qf,avg_cap_ac,avg_cap_ac_qf,first_qf_year,first_plant_year,lbl_sales_2016,tot_rps_lbl_mwh_2016,tot_rps_lbl_target_2016,solar_rps_manual_mwh_2016,solar_rps_manual_target_2016,dg_rps_manual_mwh_2016,dg_rps_manual_target_2016,solar_rps_lbl_mwh_2016,solar_rps_lbl_target_2016,lbl_sales_2025,tot_rps_lbl_mwh_2025,tot_rps_lbl_target_2025,solar_rps_manual_mwh_2025,solar_rps_manual_target_2025,dg_rps_manual_mwh_2025,dg_rps_manual_target_2025,solar_rps_lbl_mwh_2025,solar_rps_lbl_target_2025,first_yr_tot_rps_lbl,first_yr_solar_rps_manual,first_yr_dg_rps_manual,purpa_wholesale_2020,purpa_competitive_2020,purpa_standard_contract_2020,purpa_mw_limit_2020,purpa_max_term_2020,itc_dummy,ptc_dummy,alt_ptc_dummy,retail_choice,p_iou_sales_2016,p_public_sales_2016,p_retail_sales_2016,avg_ppa_years
2010,AK,713910,13.478512182956532,393747,0.105,6247038.0,15.647617989377007,52947.7,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
2011,AK,722128,13.489957687480338,393747,0.105,6319540.0,15.65915697866397,56333.9,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
2012,AK,730443,13.501406478381057,393747,0.105,6416411.0,15.674369485080314,57717.5,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
2013,AK,737068,13.510435432858246,393747,0.105,6268212.0,15.651001704477016,56625.3,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
2014,AK,736283,13.50936983467522,393747,0.105,6164812.0,15.634368199387303,55750.6,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
2015,AK,737498,13.511018655328028,393747,0.105,6159204.0,15.633458106380758,50728.1,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
2016,AK,741456,13.516371099622141,393747,0.105,6123202.0,15.627595720280121,49755.6,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
2017,AK,739700,13.51399997757596,393747,0.105,6185799.0,15.637766738973744,51737.0,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
2018,AK,735139,13.507814875961122,393747,0.105,5972467.0,15.602670632842434,54292.9,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
2019,AK,731545,13.502914014980135,393747,0.105,5818805.0,15.576605472164776,54385.6,Alaska,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.370074102399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0,0,0,0.0881571301179002,0.9118428698820996,0.0,
